"category_name","universe","department","family","brand","product_nature","model_code","used_sizeguide_turnover","sizeguide_not_used_pageviews","sizeguide_not_used_order","sizeguide_not_used_quantity","sizeguide_not_used_turnover","sizeguide_not_used_return_quantity"
"CLOTHING","WATER SPORTS UN","SAILING WINDSUR","W SAIL JACKETS","TRIBORD","JACKET",8647788,"3114.4999999999973","531",299,"335","10413.34999999998","170"
"CLOTHING","WATER SPORTS UN","SWIMMING AQUAGY","M'S SWIMSUITS","NABAIJI","SWIMMING TRUNKS",8388075,"1429.410000000001","202",717,"927","4393.859999999991","438"
"CLOTHING","HIKING TREKKING","WOMEN HIKING AN","W SHORT/TANK NH","QUECHUA","SHORTS",8582434,"2348.8099999999986","389",1230,"1370","15882.009999999978","571"
"CLOTHING","FITNESS WELLNES","DANCES","DANCE ACCESS","STAREVER","TIGHTS",8608535,"3672.3799999999924","840",3560,"4929","28826.510000000006","577"
"CLOTHING","HIKING TREKKING","JUNIOR HIKING","LAYER 2 TWBOY","QUECHUA","FLEECE",8645478,"1993.550000000001","305",1744,"1988","17780.909999999974","578"
"CLOTHING","FITNESS WELLNES","KIDS SPORTIVE E","AWAKEN SPORT AP","DOMYOS","LEGGINGS",8615991,"1514.570000000001","575",839,"926","7992.499999999972","176"
"CLOTHING","RUNNING WALKING","RUNNING TRAIL A","ADULT RUN SOCKS","KIPRUN","SOCKS",8573995,"1000.330000000001","488",973,"1308","7468.519999999977","60"
"CLOTHING","HIKING TREKKING","WOMEN HIKING AN","W JACKETS NH","QUECHUA","JACKET",8732081,"1669.3200000000004","1044",409,"427","6337.419999999987","169"
"CLOTHING","WATER SPORTS UN","SURF BODYBOARD","COLD WAT ACC","OLAIAN","TOP",8529012,"1319.1200000000006","323",585,"779","7160.219999999971","301"
"CLOTHING","FITNESS WELLNES","FITNESS TRAININ","W ESSENTIAL","DOMYOS","CROPPED LEGGINGS",8614950,"1158.8400000000006","354",1028,"1226","6553.439999999976","570"
"CLOTHING","FITNESS WELLNES","FITNESS TRAININ","WOMAN TS LEGG","DOMYOS","T-SHIRT",8665574,"1008.0000000000007","113",685,"758","4881.209999999989","279"
"CLOTHING","FITNESS WELLNES","FITNESS TRAININ","FIT BEG M OUTFI","DOMYOS","SHORTS",8644540,"2027.5200000000013","57",1373,"1660","11898.039999999979","264"
"CLOTHING","RUNNING WALKING","RUNNING TRAIL A","KIDS ATHL CLOTH","KIPRUN","RUNNING TIGHTS",8751143,"627.5100000000002","846",480,"522","4828.17999999999","140"
"CLOTHING","RUNNING WALKING","RUNNING TRAIL A","W RUN UNDERWEAR","KALENJI","SPORTS BRA",8664599,"1167.4500000000003","108",398,"477","4286.9399999999905","271"
"CLOTHING","RUNNING WALKING","RUNNING TRAIL A","M RUN COLD","KIPRUN","JACKET",8736267,"3911.829999999994","623",515,"547","13855.819999999978","129"
"CLOTHING","RUNNING WALKING","RUNNING TRAIL A","OCC M WARM WTHR","KALENJI","T-SHIRT",8605735,"3704.43999999999","364",3187,"4399","25227.459999999985","680"
"CLOTHING","TEAMSPORTS UNIV","SOCCER / FUTSAL","ADULT FOOT SOCK","KIPSTA","SOCKS",8350117,"571.0900000000008","371",934,"2532","7205.109999999983","122"
"CLOTHING","HIKING TREKKING","WOMEN HIKING AN","W SHORT/TANK NH","QUECHUA","DRESS",8731968,"1266.4500000000003","961",670,"747","9962.72999999997","320"
"CLOTHING","HIKING TREKKING","WOMEN HIKING AN","W L1 SH PANT","QUECHUA","TROUSERS",8750258,"2754.5999999999985","317",445,"511","13048.089999999978","320"
"CLOTHING","RACKETS SPORTS","TENNIS","TEN W APP","ARTENGO","LEGGINGS",8550215,"2403.849999999998","526",842,"1002","11889.199999999959","421"
"CLOTHING","HORSE RIDING UN","EQUESTRIAN SPOR","CW JR WEAR","FOUGANZA","BREECHES",8539811,"9435.139999999996","967",1673,"1927","41864.310000000034","657"
"CLOTHING","FITNESS WELLNES","FITNESS TRAININ","WOMAN TS LEGG","DOMYOS","T-SHIRT",8665580,"525.2500000000003","232",406,"423","1903.1700000000021","140"
"CLOTHING","FITNESS WELLNES","KIDS SPORTIVE E","TRACKSUIT BOY","DOMYOS","TRACKSUIT",8652081,"1014.8200000000005","479",694,"734","8265.43999999997","176"
"CLOTHING","HIKING TREKKING","WOMEN HIKING AN","W MT OUTFIT","FORCLAZ","TROUSERS",8787772,"3204.1899999999955","449",786,"859","21719.54999999999","314"
"CLOTHING","WATER SPORTS UN","SURF BODYBOARD","WM BEG SSUIT","OLAIAN","SWIMMING COSTUME",8646491,"163.8","481",197,"209","741.1000000000005","119"
"CLOTHING","WATER SPORTS UN","SAILING WINDSUR","M SAILWEAR","TRIBORD","LONG-SLEEVED T-SHIRT",8668971,"5172.92999999999","215",1117,"1394","26839.26000000001","320"
"CLOTHING","WINTER SPORTS U","SKI FREESKI SNO","W SKI B.LAYER","WEDZE","BASE LAYER",8548187,"3568.8099999999977","194",515,"571","12445.84999999999","156"
"CLOTHING","WATER SPORTS UN","SURF BODYBOARD","GIRL'S SWIMSUIT","OLAIAN","SWIMMING COSTUME",8677669,"409.6300000000005","597",792,"907","2069.080000000003","215"
"CLOTHING","HORSE RIDING UN","EQUESTRIAN SPOR","COMPETITION GEA","FOUGANZA","COMPETITION JACKET",8354600,"1754.5100000000002","631",254,"301","6473.209999999987","121"
