"category_name","universe","department","family","brand","product_nature","model_code","used_sizeguide_pageviews","used_sizeguide_order","used_sizeguide_quantity","used_sizeguide_turnover","used_sizeguide_return_quantity"
"CLOTHING","HORSE RIDING UN","EQUESTRIAN SPOR","CW JR WEAR","FOUGANZA","BREECHES",8365289,"1098",1059,"1244","18930.529999999988","291"
"CLOTHING","WINTER SPORTS U","SKI FREESKI SNO","W SKI CLOTH OCC","WEDZE","SKI TROUSERS",8603856,"1097",302,"363","7098.57999999999","221"
"CLOTHING","WATER SPORTS UN","SURF BODYBOARD","MEN'S BS BEGIN","OLAIAN","BOARDSHORTS",8383486,"1092",735,"873","3436.839999999993","257"
"CLOTHING","WATER SPORTS UN","SWIMMING AQUAGY","GIRL'S SWIMSUIT","NABAIJI","SWIMMING COSTUME",8647856,"1091",200,"217","1129.610000000001","77"
"CLOTHING","HORSE RIDING UN","EQUESTRIAN SPOR","RIDING WEAR WIN","FOUGANZA","BREECHES",8555783,"1080",830,"1016","21232.999999999993","316"
"CLOTHING","WATER SPORTS UN","SURF BODYBOARD","COLD WAT WETSUI","OLAIAN","SURF WETSUIT",8504033,"1078",211,"277","11813.709999999985","148"
"CLOTHING","TEAMSPORTS UNIV","SOCCER / FUTSAL","JR HOT WEATHER","KIPSTA","SHORT-SLEEVE JERSEY",8558468,"1074",559,"780","3514.519999999989","132"
"CLOTHING","WATER SPORTS UN","SURF BODYBOARD","W SUN PROTEC","OLAIAN","TOP",8648036,"1072",694,"788","4294.409999999991","229"
"CLOTHING","HIKING TREKKING","JUNIOR HIKING","LAYER2 KIDBOY","QUECHUA","TROUSERS",8561651,"1071",330,"363","5197.399999999988","103"
"CLOTHING","WINTER SPORTS U","SKI FREESKI SNO","M SKI CLOT OCC","WEDZE","JACKET",8642198,"1071",511,"576","19591.079999999984","183"
"CLOTHING","WATER SPORTS UN","SURF BODYBOARD","SUN PROTEC JR","OLAIAN","TOP",8677765,"1069",473,"522","4015.5199999999877","174"
"CLOTHING","CYCLING UNIVERS","URBAN/FOLDING B","RAIN WEATH APP","BTWIN","JACKET",960307,"1063",296,"312","5878.039999999984","116"
"CLOTHING","HIKING TREKKING","WOMEN HIKING AN","W SH FLEECE","QUECHUA","FLEECE",8544168,"1061",134,"141","2709.149999999999","56"
"CLOTHING","FITNESS WELLNES","GYMNASTICS ACCR","WOMEN'S GYM APP","DOMYOS","LEGGINGS",8561221,"1057",382,"482","4766.979999999996","77"
"CLOTHING","HIKING TREKKING","HIKING TREK GEA","TROPICAL TREK","FORCLAZ","TROUSERS",8611268,"1053",371,"461","10237.439999999968","204"
"CLOTHING","HORSE RIDING UN","EQUESTRIAN SPOR","JR RIDING WEAR","FOUGANZA","BREECHES",8405489,"1051",384,"428","6256.869999999978","113"
