"category_name","universe","department","family","brand","product_nature","model_code","used_sizeguide_pageviews","used_sizeguide_order","used_sizeguide_quantity","used_sizeguide_turnover","used_sizeguide_return_quantity","sizeguide_not_used_pageviews","sizeguide_not_used_order","sizeguide_not_used_quantity","sizeguide_not_used_turnover","sizeguide_not_used_return_quantity"
"CLOTHING","WINTER SPORTS U","SKI FREESKI SNO","CHILD SKI BL","WEDZE","BASE LAYER",8616199,"17",125,"137","1545.8100000000006","18","43",499,"561","6339.119999999995","73"
"CLOTHING","WINTER SPORTS U","SKI FREESKI SNO","SKI TOURING CLO","WEDZE","SKI PANTS",8512705,"17",15,"20","1799.88","8","19",21,"25","2699.8199999999997","7"
"CLOTHING","WINTER SPORTS U","SKI FREESKI SNO","GRL REG SKI JKT","WEDZE","JACKET",8755848,"17",22,"23","979.86","9","115",159,"161","7978.859999999992","47"
"CLOTHING","WINTER SPORTS U","SKI FREESKI SNO","CHILD SKI BL","WEDZE","BASELAYER BOTTOM",8616230,"17",15,"16","181.85999999999999","2","72",59,"65","701.4600000000003","11"
"CLOTHING","WATER SPORTS UN","SNORKELING SCUB","FRD SUITS","SUBEA","NEOPRENE JACKET",8528765,"17",3,"3","139.98","1","3",4,"4","109.97","1"
"CLOTHING","TEAMSPORTS UNIV","SOCCER / FUTSAL","UNDER TS JR","KIPSTA","BASE LAYER",8651113,"17",43,"47","655.5900000000003","6","31",256,"329","4301.30999999999","41"
"CLOTHING","TEAMSPORTS UNIV","SOCCER / FUTSAL","UNDER TS JR","KIPSTA","BASE LAYER",8651111,"17",77,"85","1103.3100000000004","16","94",394,"442","5532.539999999991","96"
"CLOTHING","TEAMSPORTS UNIV","SOCCER / FUTSAL","JR HOT WEATHER","KIPSTA","SHORTS",8558501,"17",64,"73","487.3900000000002","12","8",382,"463","3036.1999999999944","83"
"CLOTHING","TEAMSPORTS UNIV","SOCCER / FUTSAL","AD COLD WEATHER","ADIDAS","SWEATSHIRT",8821654,"17",5,"6","69.98","4","10",59,"61","1704.5500000000002","16"
"CLOTHING","TEAMSPORTS UNIV","SOCCER / FUTSAL","JR HOT WEATHER","KIPSTA","SHORT-SLEEVE JERSEY",8758932,"17",71,"77","1087.3600000000004","13","21",341,"361","5046.029999999984","63"
"CLOTHING","TEAMSPORTS UNIV","SOCCER / FUTSAL","EUROPE NATIONAL","KIPSTA","SHORT-SLEEVE JERSEY",8555251,"17",15,"17","52.88000000000001","5","8",56,"85","328.2700000000002","12"
"CLOTHING","TEAMSPORTS UNIV","SOCCER / FUTSAL","AD COLD WEATHER","KIPSTA","WINDBREAKER",8497921,"17",17,"24","464.8200000000001","6","42",113,"135","2514.079999999999","43"
"CLOTHING","WATER SPORTS UN","SWIMMING AQUAGY","SWIMSUITS&CAPS","WATKO","SWIM BRIEFS",8733734,"17",35,"45","401.7600000000001","21","12",121,"140","1113.3200000000004","72"
"CLOTHING","WATER SPORTS UN","SWIMMING AQUAGY","M'S SWIMSUITS","NABAIJI","SWIM BRIEFS",8788589,"17",39,"49","202.79000000000002","28","14",203,"249","1244.6300000000006","112"
"CLOTHING","WATER SPORTS UN","SWIMMING AQUAGY","W'S SWIMSUITS","NABAIJI","SWIMMING COSTUME",8645312,"17",28,"32","199.92000000000002","24","30",111,"140","974.6100000000002","101"
"CLOTHING","WATER SPORTS UN","SWIMMING AQUAGY","COVERING SWIMWE","NABAIJI","LEGGINGS",8775373,"17",15,"17","139.92999999999998","10","34",59,"61","719.6400000000002","25"
"CLOTHING","WATER SPORTS UN","SWIMMING AQUAGY","GIRL'S SWIMSUIT","NABAIJI","SWIMMING COSTUME",8600573,"17",10,"11","55.93000000000001","4","61",110,"167","1046.6900000000005","36"
"CLOTHING","WATER SPORTS UN","SWIMMING AQUAGY","AQUAGYM AQUABIK","NABAIJI","SWIMMING COSTUME",8677385,"17",24,"27","399.90000000000003","17","33",152,"168","2589.3499999999976","103"
"CLOTHING","WATER SPORTS UN","SWIMMING AQUAGY","M'S SWIMSUITS","NABAIJI","SWIM BRIEFS",8387996,"17",6,"6","21.97","3","9",12,"12","53.93000000000001","5"
"CLOTHING","HIKING TREKKING","WOMEN HIKING AN","W SNOW HIKE L3","QUECHUA","PARKA",8641748,"17",12,"12","819.9300000000001","4","43",69,"75","4979.579999999998","33"
"CLOTHING","HIKING TREKKING","WOMEN HIKING AN","W L1 SH PANT","QUECHUA","FLEECE",8544168,"17",25,"25","699.86","11","64",89,"100","3249.349999999999","35"
"CLOTHING","HIKING TREKKING","WOMEN HIKING AN","W MH TS PANT","QUECHUA","T-SHIRT",8610728,"17",22,"23","409.8400000000001","7","17",137,"143","1984.2300000000005","66"
"CLOTHING","HIKING TREKKING","WOMEN HIKING AN","W MT PADDEDJACK","FORCLAZ","DOWN JACKET",8550545,"17",12,"15","959.92","7","8",93,"103","7029.4199999999955","45"
"CLOTHING","GOLF UNIVERS","GOLF","M GOLF PADDED J","INESIS","DOWN JACKET",8605578,"16",60,"69","1154.6000000000001","29","15",416,"489","7506.709999999974","159"
"CLOTHING","GOLF UNIVERS","GOLF","M PULL POLO LS","INESIS","LONG-SLEEVED POLO SHIRT",8574868,"16",49,"61","782.5300000000003","14","10",186,"227","3103.119999999995","39"
"CLOTHING","GOLF UNIVERS","GOLF","MEN RAINWEAR","INESIS","JACKET",8647461,"16",6,"7","89.97","4","83",22,"25","719.82","7"
"CLOTHING","FITNESS WELLNES","YOGA","WOMAN YOGA","DOMYOS","TROUSERS",8649466,"16",8,"9","134.95","4","24",36,"40","602.7900000000001","19"
"CLOTHING","FITNESS WELLNES","YOGA","MAN YOGA","KIMJALY","SHORTS",8404802,"16",19,"20","198.87","7","13",149,"189","2016.720000000001","61"
"CLOTHING","FITNESS WELLNES","YOGA","WOMAN YOGA","KIMJALY","LEGGINGS",8612105,"16",8,"8","74.97","5","49",50,"51","674.7300000000001","24"
"CLOTHING","RACKETS SPORTS","TENNIS","TEN JR APP","ARTENGO","BOXER SHORTS",8609067,"16",22,"26","68.77000000000001","3","19",103,"128","346.8400000000003","12"
"CLOTHING","RACKETS SPORTS","TENNIS","TEN JR APP","ARTENGO","SHORT-SLEEVED POLO SHIRT",8589906,"16",33,"48","262.66","14","34",291,"473","2927.269999999996","100"
